Country_name,Confirmed,Deaths
US,1554,85
US,16235,296
US,9313,100
US,2224,54
US,38189,655
US,5724,17
US,4500,99
US,42949,438
US,19863,171
US,312,4
US,38797,688
US,1458,35
US,107875,1341
US,7756,218
US,7334,175
US,24539,278
US,3577,58
US,20559,340
US,1118,41
US,3118,106
US,2107,19
US,4605,66
US,90367,1268
US,4727,95
US,3563,122
US,1636,54
US,12270,401
US,22051,277
US,1817,57
US,714,11
US,8728,155
US,3187,84
US,4390,117
US,1609,51
US,3718,101
US,12984,220
US,18091,353
US,33340,257
US,3894,77
US,130608,1700
US,4566,128
US,411,20
US,15245,329
US,11127,187
US,3581,86
US,2664,69
US,131649,1408
US,7250,195
US,37376,614
US,1121,80
US,3750,111
US,3682,83
US,3460,64
US,1460,33
US,37585,475
US,24717,364
US,1412,37
US,14575,201
US,2105,57
US,2919,56
US,2644,82
US,1183,55
US,1537,60
US,3392,88
US,3375,87
US,1458,15
US,8994,233
US,4615,79
US,7449,107
US,1168,32
US,1711,22
US,21053,297
US,4732,97
US,1314,40
US,4910,72
US,955,36
US,3474,72
US,1695,29
US,2941,107
US,1197,20
US,3325,98
US,4111,141
US,1501,39
US,3106,40
US,7374,130
US,23666,606
US,16084,329
US,5584,78
US,2140,38
US,42888,963
US,24825,315
US,4008,94
US,5473,110
US,4211,100
US,3770,67
US,8382,146
US,1506,57
US,3193,80
US,253,4
US,2473,58
US,990,40
US,34658,658
US,11252,228
US,635,7
US,1782,57
US,1493,24
US,10188,281
US,4687,102
US,1510,28
US,4097,128
US,726,25
US,168,3
US,3773,103
US,1254,36
US,2211,67
US,1210,56
US,7625,173
US,8267,172
US,5375,167
US,1755,79
US,1226,46
US,10755,299
US,1682,48
US,1070,59
US,4619,8
US,3495,120
US,5371,165
US,10976,135
US,14807,331
US,7284,240
US,760,23
US,3195,112
US,5775,166
US,254,6
US,945,33
US,4755,122
US,22275,327
US,1264,53
US,1532,34
US,1486,42
US,3027,87
US,103,3
US,16795,222
US,10607,110
US,56800,647
US,2455,8
US,9700,92
US,2548,5
US,0,0
US,77257,718
US,492,9
US,12770,168
US,640,13
US,1108,19
US,6450,106
US,2930,23
US,709,8
US,5087,83
US,19003,207
US,1317,24
US,330,3
US,106,1
US,39695,467
US,956,17
US,3700,34
US,77,0
US,1585,25
US,354,5
US,3862,42
US,1534,22
US,1455,16
US,2659,54
US,2204,40
US,2012,31
US,3890,42
US,4155,44
US,26976,356
US,4356,30
US,786,16
US,724,19
US,658,12
US,8410,35
US,3044,44
US,5947,91
US,511,6
US,1549,39
US,3845,57
US,988,13
US,1848,57
US,1590,5
US,15313,199
US,2,0
US,1403,10
US,1793,41
US,13072,152
US,713,12
US,2550,24
US,7875,83
US,1058,9
US,4411,89
US,686,2
US,2356,38
US,2647,30
US,26859,196
US,5303,82
US,2649,39
US,2573,54
US,7095,102
US,7843,121
US,631261,11168
US,3308,30
US,1885,26
US,2042,30
US,12078,133
US,3247,37
US,107465,1374
US,2552,49
US,1025,18
US,6554,99
US,4289,64
US,2422,59
US,7276,114
US,5216,74
US,784,8
US,2045,40
US,7317,86
US,1333,22
US,2719,35
US,594,16
US,696,14
US,6598,76
US,4181,77
US,8065,94
US,1605,21
US,6492,142
US,3342,53
US,2145,29
US,2238,31
US,68004,866
US,17795,247
US,16104,113
US,7197,169
US,14954,285
US,79526,1076
US,3299,32
US,4769,60
US,5946,97
US,4925,74
US,15222,250
US,6893,104
US,39883,590
US,6871,143
US,1409,21
US,2116,52
US,2137,48
US,3723,60
US,34415,322
US,22871,216
US,1710,13
US,2022,35
US,5236,100
US,4876,80
US,5038,99
US,2288,33
US,7524,87
US,9,0
US,26749,368
US,4303,75
US,2006,14
US,2626,58
US,544,6
US,1037,11
US,560,4
US,5523,99
US,2784,57
US,18699,358
US,4317,69
US,25613,284
US,1064,10
US,711,6
US,3431,47
US,36147,591
US,809,28
US,5775,92
US,20525,330
US,158,2433
US,3054,48
US,14202,198
US,2166,19
US,2427,65
US,2114,28
US,2999,61
US,2785,33
US,8247,181
US,90698,1118
US,11998,174
US,40745,559
US,5735,92
US,4727,73
US,57160,791
US,11447,179
US,1501,17
US,1878,40
US,8819,115
US,1440,47
US,2582,32
US,7462,119
US,18383,248
US,4184,60
US,5671,71
US,1581,22
US,4596,112
US,6237,96
US,8154,92
US,4118,101
US,14931,256
US,8210,129
US,35546,503
US,4021,86
US,10983,214
US,3318,58
US,2627,42
US,3045,66
US,6480,113
US,9898,217
US,4211,96
US,45963,460
US,11597,175
US,6415,91
US,23647,353
US,8107,150
US,14574,286
US,6302,99
US,6917,88
US,5204,75
US,2784,45
US,5046,95
US,3832,60
US,24821,440
US,6269,105
US,12166,147
US,3520,78
US,14987,249
US,65823,1151
US,7379,168
US,18538,404
US,134326,2101
US,7786,134
US,1373,19
US,5865,95
US,15117,197
US,6184,109
US,9361,176
US,1556,48
US,7944,106
US,840,12
US,2905,62
US,3101,69
US,2297,26
US,2644,52
US,2273,43
US,22735,362
US,3742,43
US,1811,55
US,5734,77
US,3399,99
US,4924,85
US,2572,32
US,4339,68
US,7115,114
US,3364,42
US,43954,607
US,3108,68
US,5504,73
US,3266,52
US,1339,11
US,27694,256
US,2256,59
US,0,532
US,1066,15
US,31975,473
US,2542,54
US,17274,300
US,5250,101
US,1201,16
US,11225,188
US,3520,49
US,10840,248
US,4197,87
US,4142,61
US,5580,55
US,1036,34
US,498,4
US,1929,52
US,1759,50
US,645,14
US,3520,56
US,20130,355
US,3448,37
US,3538,67
US,2742,39
US,4897,45
US,2032,37
US,1841,15
US,3417,53
US,1905,57
US,2463,26
US,6816,107
US,1919,43
US,1564,18
US,1400,28
US,2746,31
US,2100,58
US,6814,100
US,3373,45
US,13894,107
US,1138,25
US,812,12
US,2534,44
US,6578,93
US,2976,51
US,15577,228
US,1638,42
US,2538,48
US,2167,44
US,1633,28
US,837,11
US,1137,12
US,1679,37
US,1540,34
US,2285,53
US,1847,39
US,2664,48
US,2152,77
US,3786,47
US,1254,22
US,1618,26
US,1166,41
US,2042,29
US,2704,45
US,5714,78
US,1973,40
US,17800,100
US,3651,60
US,1375,34
US,2693,73
US,5607,87
US,28680,379
US,1696,51
US,1122,24
US,1906,41
US,2143,25
US,3136,56
US,4997,91
US,6354,84
US,1972,27
US,1618,43
US,1074,36
US,1315,34
US,1389,41
US,6294,113
US,2238,63
US,911,17
US,2448,27
US,1408,31
US,4591,87
US,1093,23
US,73698,716
US,14073,197
US,2068,40
US,668,27
US,1563,23
US,24441,271
US,1742,39
US,5602,76
US,12751,48
US,2614,76
US,786,12
US,15,0
US,1594,37
US,827,21
US,5807,136
US,7634,96
US,3622,55
US,720,24
US,6876,111
US,1854,32
US,2308,37
US,18854,242
US,1067,8
US,2409,45
US,1851,27
US,1089,21
US,2336,24
US,489,7
US,3771,56
US,2407,41
US,1515,40
US,10680,121
US,342,4
US,490,8
US,3586,77
US,424,13
US,318,7
US,1204,31
US,1280,27
US,1154,26
US,247,11
US,5521,124
US,6656,103
US,332,13
US,2808,60
US,1351,27
US,12244,101
US,336,13
US,275,6
US,4467,76
US,1362,28
US,7297,81
US,7020,90
US,3724,55
US,4681,54
US,461,22
US,318,10
US,1202,27
US,825,16
US,150,2
US,958,14
US,269,1
US,895,19
US,4863,80
US,530,8
US,228,10
US,1936,19
US,2544,47
US,391,8
US,76717,912
US,722,12
US,1106,20
US,345,4
US,3467,59
US,164,7
US,10181,121
US,339,5
US,1569,15
US,401,8
US,5365,91
US,1549,27
US,1425,28
US,4327,93
US,661,14
US,4262,59
US,752,17
US,5307,107
US,755,23
US,337,9
US,1874,56
US,2501,49
US,484,17
US,1382,30
US,1944,34
US,399,14
US,700,14
US,0,0
US,1430,15
US,836,26
US,2746,41
US,1183,26
US,405,7
US,11025,163
US,868,14
US,1423,15
US,7920,59
US,772,11
US,498,15
US,1074,33
US,8189,174
US,737,27
US,79517,955
US,4559,46
US,25162,445
US,487,14
US,771,13
US,381,3
US,559,16
US,271,6
US,729,12
US,3156,60
US,1340,22
US,478,8
US,0,0
US,892,18
US,229,4
US,771,15
US,270,6
US,1473,33
US,390,9
US,27678,358
US,3114,70
US,3730,63
US,3292,40
US,657,19
US,7814,133
US,1554,29
US,5736,90
US,19761,181
US,3099,32
US,8188,98
US,5273,79
US,1075,8
US,1964,24
US,2635,30
US,11794,118
